#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/tmp2qklu2nu/tmpwhpq5f0j -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bowtie2.txt --nproc 12
#60037381 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.46516	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452	2|1224|||	0.4523	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734	2|1134404|||	0.41993	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982	2|203691|||	0.40175	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.37776	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234	2|68297|||	0.28794	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae	2|976|200643|171549|2760872	0.21593	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080|f__FGB27080	2|1239|||	0.17574	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae	2|976|200643|171549|2005520	0.13842	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.13405	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.12116	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063	2|1239|||	0.11994	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae	2|200918|188708|1643946|1643948	0.11138	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.09445	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658|f__FGB24658	2|976|||	0.09028	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012	2|976|||	0.086	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348|f__FGB7348	2|95818|||	0.0812	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403	2|1224|||	0.04812	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897|f__FGB8897	2|67818|||	0.04746	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191	2|203682|||	0.04266	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.04028	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.03894	
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181|f__FGB76181	2157|28890|||	0.01918	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified|f__Synergistetes_unclassified	2|508458|||	0.01727	
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae	2|2138240|2138243|2138246|2138247	0.01067	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales|f__Atribacteraceae	2|67818|2847774|2847775|2847776	0.00824	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401|f__FGB32401	2|57723|||	0.00527	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	0.00481	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus	2|1239|91061|186826|33958|46254	73.49254	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonas	2|456828||||456826	11.24701	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821	2|203691||||	2.05495	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__GGB27285	2157|28890|224756|2191|2194|	1.86546	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100	2157|28890|224756|2905377|143067|	1.49075	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB24760	2|200918|188708|2419|1643950|	1.35959	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	2157|28890|224756|2191|196137|2202	1.13906	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2|976|200643|171549|171550|239759	1.09091	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB34841	2|200918|188708|2419|1643950|	0.94354	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946|g__GGB26731	2|1224||||	0.76006	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452|g__GGB25803	2|1224||||	0.4523	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734|g__GGB45669	2|1134404||||	0.41993	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982|g__GGB58357	2|203691||||	0.40175	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758	2|1239||||	0.37776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0.30231	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234|g__GGB42235	2|68297||||	0.28794	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3345	2|1239|186801|186802|216572|	0.28372	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__GGB35116	2|976|200643|171549|2760872|	0.21593	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	2|976|200643|171549|815|909656	0.19754	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080|f__FGB27080|g__GGB27082	2|1239||||	0.17574	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011	2|1239||||	0.13405	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium	2|508458|649775|649776|649777|49894	0.12116	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063|g__GGB24947	2|1239||||	0.11994	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__GGB24759	2|200918|188708|1643946|1643948|	0.11138	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713	2|1239|186801|186802|216572|	0.09705	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonadaceae_unclassified	2|976|200643|171549|2005520|	0.09524	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	2|74201|203494|48461|1647988|239934	0.09445	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658|f__FGB24658|g__GGB46168	2|976||||	0.09028	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012|g__GGB35206	2|976||||	0.086	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	2|1239|186801|186802|216572|	0.08241	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348|f__FGB7348|g__GGB23589	2|95818||||	0.0812	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601	2|1224||||	0.04812	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897|f__FGB8897|g__GGB26668	2|67818||||	0.04746	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__GGB46169	2|976|200643|171549|2005520|	0.04317	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191|g__GGB45191	2|203682||||	0.04266	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB27198	2157|28890|183925|2158|2159|	0.04028	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	2|1224|28221|213115|194924|35832	0.03894	
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181|f__FGB76181|g__GGB27196	2157|28890||||	0.01918	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified|f__Synergistetes_unclassified|g__Synergistetes_unclassified	2|508458||||	0.01727	
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales|f__Coprothermobacteraceae|g__Coprothermobacter	2|2138240|2138243|2138246|2138247|68335	0.01067	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales|f__Atribacteraceae|g__Atribacter	2|67818|2847774|2847775|2847776|2847777	0.00824	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401|f__FGB32401|g__GGB45011	2|57723||||	0.00527	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium	2|201174|1760|85009|31957|1912216	0.00481	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB42431	2|1239|186801|186802|216572|	0.00198	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus_oeni	2|1239|91061|186826|33958|46254|1247	73.48801	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonas|s__Candidatus_Cloacimonas_acidaminovorans	2|456828||||456826|456827	11.24701	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__GGB27285|s__GGB27285_SGB39523	2157|28890|224756|2191|2194||	1.86546	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100|s__GGB54100_SGB75290	2157|28890|224756|2905377|143067||	1.49075	
