0.1403	Bacteria	Firmicutes	CFGB9195	OFGB9195	FGB9195	GGB27161	GGB27161_SGB39379	SGB39379
0.00016	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Candidatus_Cibionibacter	Candidatus_Cibionibacter_quicibialis	SGB15286
0.00177	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridiaceae_unclassified	Clostridiaceae_bacterium_Marseille_Q4149	SGB15091
0.00329	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_perfringens	SGB6191
0.00065	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_saudiense	SGB6178
0.00072	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_SGB6179	SGB6179
0.00582	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_sp_NSJ_42	SGB6174
8,00E-05	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Aminicella	Aminicella_lysinilytica	SGB28980
0.00207	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium_aggregans	SGB4077
0.06113	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	GGB42170	GGB42170_SGB59318	SGB59318
0.02561	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	GGB45215	GGB45215_SGB62735	SGB62735
0.00403	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Variimorphobacter	Variimorphobacter_saccharofermentans	SGB79680
0.00951	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB42431	GGB42431_SGB48050	SGB48050
0.69156	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	GGB49462	GGB49462_SGB93685	SGB93685
0.00704	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus_bromii	SGB4285
0.0003	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_noterae	SGB6090
0.00032	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	GGB4456	GGB4456_SGB6141	SGB6141
0.00153	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Intestinibacter	Intestinibacter_bartlettii	SGB6140
