#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/tmptixv0n6k/tmpgrqmf_cb -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bowtie2.txt --nproc 12
#119461023 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB3438|o__OFGB3438	2|1239||	0.0103	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01001	
k__Bacteria|p__Proteobacteria|c__CFGB8514|o__OFGB8514	2|1224||	0.00948	
k__Bacteria|p__Firmicutes|c__CFGB8287|o__OFGB8287	2|1239||	0.00855	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.00579	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Aggregatilineales	2|200795|292625|2806304	0.00497	
k__Bacteria|p__Firmicutes|c__CFGB1927|o__OFGB1927	2|1239||	0.00497	
k__Bacteria|p__Deferribacteres|c__CFGB25719|o__OFGB25719	2|200930||	0.00433	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.00405	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	2|57723|204432|332160	0.00377	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineae_unclassified	2|200795|292625|	0.00338	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.00297	
k__Bacteria|p__Proteobacteria|c__CFGB41806|o__OFGB41806	2|1224||	0.00263	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB8426|o__OFGB8426	2|142187||	0.0026	
k__Bacteria|p__Proteobacteria|c__CFGB76416|o__OFGB76416	2|1224||	0.00251	
k__Bacteria|p__Bacteroidetes|c__CFGB8910|o__OFGB8910	2|976||	0.00191	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.00181	
k__Bacteria|p__Actinobacteria|c__CFGB76411|o__OFGB76411	2|201174||	0.0018	
k__Bacteria|p__Candidatus_Aminicenantes|c__CFGB8486|o__OFGB8486	2|67817||	0.00158	
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	2|200795|1382928|1382929	0.00122	
k__Bacteria|p__Firmicutes|c__CFGB8975|o__OFGB8975	2|1239||	0.00107	
k__Bacteria|p__Verrucomicrobia|c__CFGB38799|o__OFGB38799	2|74201||	0.00065	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00064	
