#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/tmp78dbzyjb/tmpwk8fqafq -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/P21158_81_S12_001_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/P21158_81_S12_001_metaphlan_bowtie2.txt --nproc 12
#88745750 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas	2|976|200643|171549|2005520|307628	0.19041	
k__Bacteria|p__Firmicutes|c__CFGB8975|o__OFGB8975|f__FGB8975|g__GGB26776	2|1239||||	0.17093	
k__Bacteria|p__Bacteroidetes|c__CFGB42009|o__OFGB42009|f__FGB42009|g__GGB46164	2|976||||	0.14708	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	2157|28890|224756|2191|196137|2202	0.11294	
k__Bacteria|p__Firmicutes|c__CFGB8935|o__OFGB8935|f__FGB8935|g__GGB26712	2|1239||||	0.10822	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonadaceae_unclassified	2|976|200643|171549|2005520|	0.09815	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452|g__GGB25803	2|1224||||	0.0902	
k__Bacteria|p__Tenericutes|c__CFGB26653|o__OFGB26653|f__FGB26653|g__GGB26653	2|544448||||	0.08402	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales|f__Atribacteraceae|g__Atribacter	2|67818|2847774|2847775|2847776|2847777	0.05696	
k__Bacteria|p__Proteobacteria|c__CFGB20881|o__OFGB20881|f__FGB20881|g__GGB58408	2|1224||||	0.04453	
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945|f__FGB7945|g__GGB24768	2|508458||||	0.03087	
k__Bacteria|p__Proteobacteria|c__CFGB41806|o__OFGB41806|f__FGB41806|g__GGB41806	2|1224||||	0.02717	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acetivibrio	2|1239|186801|186802|216572|35829	0.0262	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401|f__FGB32401|g__GGB45011	2|57723||||	0.02238	
k__Bacteria|p__Firmicutes|c__CFGB76577|o__OFGB76577|f__FGB76577|g__GGB41889	2|1239||||	0.01778	
k__Bacteria|p__Firmicutes|c__CFGB76402|o__OFGB76402|f__FGB76402|g__GGB26126	2|1239||||	0.01472	
k__Archaea|p__Euryarchaeota|c__CFGB38|o__OFGB38|f__FGB38|g__GGB50	2157|28890||||	0.01374	
k__Bacteria|p__Firmicutes|c__CFGB25401|o__OFGB25401|f__FGB25401|g__GGB45485	2|1239||||	0.01147	
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503|f__FGB7503|g__GGB23904	2|976||||	0.00647	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio	2|508458|649775|649776|649777|81461	0.00203	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus_oeni	2|1239|91061|186826|33958|46254|1247	32.25353	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonas|s__Candidatus_Cloacimonas_acidaminovorans	2|456828||||456826|456827	32.07375	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB24760|s__GGB24760_SGB46578	2|200918|188708|2419|1643950||	5.85082	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869|o__OFGB7869|f__FGB7869|g__GGB24641|s__GGB24641_SGB36504	2|456828|||||	3.36953	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100|s__GGB54100_SGB75290	2157|28890|224756|2905377|143067||	3.36318	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658|f__FGB24658|g__GGB46168|s__GGB46168_SGB63936	2|976|||||	2.89325	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__Methanothrix|s__Methanothrix_soehngenii	2157|28890|224756|2905377|143067|2222|2223	2.49698	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB60031	2|203691|||||	2.1288	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB52415	2|203691|||||	2.05586	
