#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/tmp9uqp8scc/tmpsw7y76lt -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bowtie2.txt --nproc 12
#130113000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2|201174|1760|1643684	0.07463	
k__Bacteria|p__Bacteroidetes|c__CFGB75933|o__OFGB75933	2|976||	0.07175	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.06717	
k__Bacteria|p__Bacteroidetes|c__CFGB7503|o__OFGB7503	2|976||	0.06675	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.06587	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	2|976|200643|1970189	0.06225	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales	2|67818|2847774|2847775	0.05861	
k__Bacteria|p__Verrucomicrobia|c__CFGB38799|o__OFGB38799	2|74201||	0.05715	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.05522	
k__Bacteria|p__Firmicutes|c__CFGB8935|o__OFGB8935	2|1239||	0.05294	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.05147	
k__Bacteria|p__Bacteroidetes|c__CFGB41867|o__OFGB41867	2|976||	0.0431	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.04211	
k__Bacteria|p__Spirochaetes|c__CFGB41075|o__OFGB41075	2|203691||	0.04154	
k__Bacteria|p__Bacteroidetes|c__CFGB7612|o__OFGB7612	2|976||	0.0391	
